acentos	dibujosfaciles	queprefieres	pelis	probable	preguntac	situacionese
ruso	arbol	¿Qué prefieres, que tu pareja se líe con tu mejor amigo una vez o te engañe con un desconocido durante un año?	El Padrino	muera primero en una película de terror	¿Alguna vez te has liado con alguien de tu entorno laboral o de tu misma empresa y lo has mantenido en secreto?	ayudarte a esconder un cadáver a las 3 de la mañana sin hacer preguntas
indio	estrella	¿Qué prefieres, volver con tu ex o no volver a tener pareja?	Cadena Perpetua	se pierda en su propia ciudad usando el GPS	¿Alguna vez te has alegrado en secreto de que una pareja de tu grupo de amigos rompiera?	compartir un piso de 30 metros cuadrados durante todo un año
catalán	tenedor	¿Qué prefieres, que todos sepan con quién te has liado o cuántas personas te has liado?	El Caballero Oscuro	envíe una captura de pantalla a la misma persona de la que está hablando	¿Has tenido fantasías sexuales con alguien de esta mesa que no sea tu pareja actual?	que borre tu historial de internet y destruya tu móvil si te pasa algo grave
andaluz	sol	¿Qué prefieres, besar a la persona más guapa de la sala o a la que mejor te cae?	Pulp Fiction	se quede dormido en el sofá antes de salir de fiesta	¿Le has sido infiel emocionalmente a alguna pareja, tonteando o hablando a escondidas con otra persona?	prestarle los ahorros de tu vida para que monte un negocio de dudosa rentabilidad
moro	casa	¿Qué prefieres, tener una cita con alguien de esta habitación o no volver a ver a nadie de esta habitación?	Forrest Gump	termine fundando o liderando una secta	¿Alguna vez te has sentido atraído físicamente por el hermano o la hermana de un amigo?	que te defienda como tu abogado en un juicio en el que te juegas ir a la cárcel
argentino	corazón	¿Qué prefieres, que alguien de esta mesa se enamore de ti o enamorarte tú de alguien de esta mesa?	Titanic	se tropiece en la calle sin que haya absolutamente nada en el suelo	¿Tienes alguna conversación en tu móvil que destruiría tu relación actual (o una amistad) si alguien la leyera ahora mismo?	hacer equipo para sobrevivir a un apocalipsis zombie
vasco	flor	¿Qué prefieres, que tu pareja pueda leer todos tus mensajes o ver todas tus fotos?	Avatar	se haga amigo de un ladrón que entra a robar a su casa	¿Hay alguien en tu grupo de amigos con quien te acostarías si supieras al 100% que nadie en el mundo se iba a enterar?	dejarle a cargo de tu mascota y de las llaves de tu casa durante un mes
inglés	pez	¿Qué prefieres, descubrir que tu pareja te ha mentido o que te ha ocultado algo importante?	Star Wars: Una nueva esperanza	rompa la pantalla de su móvil esta misma noche	¿Has mantenido el contacto con un "casi algo" como plan B por si tu relación principal fracasaba?	que llame a tu jefe para inventarse una excusa muy elaborada de por qué no puedes ir a trabajar hoy
mexicano	luna	¿Qué prefieres, tener un "crush" imposible o no volver a sentir mariposas?	El Señor de los Anillos: El Retorno del Rey	gane la lotería y pierda el boleto al día siguiente		montar un mueble de IKEA complicadísimo teniendo resaca y sin las instrucciones
alemán	nube	¿Qué prefieres, que te rechacen delante de todos o declarar tu amor delante de todos?	Harry Potter y la Piedra Filosofal	acabe viviendo en medio del bosque alejado de la sociedad		que te elija a ciegas la persona con la que te vas a casar
